FullAddress,SID,PID,EXID,Service,Latitude,Longitude,Company,_overlaps
999 ROAD 11 POWELL WY 82435,946488,,,Outside of SAI,Null,Null,,Null
135 TA BI DR WASHAKIE WY 82401,945873,,23,Outside of SAI,Null,Null,Worland,1
1302 FIFTEEN MILE RD WASHAKIE WY 82401,910794,,23,Outside of SAI,Null,Null,Worland,1
1304 FIFTEEN MILE RD WASHAKIE WY 82401,919889,,23,Outside of SAI,Null,Null,Worland,1
173 TURKEY PAW RD SUNDANCE WY 82729,945998,,16,Outside of SAI,Null,Null,Worland,1
100 N 1ST ST HUDSON WY 82515,933926,,60,Outside of SAI,Null,Null,Sheridan,2
321 CAMBRIA CANYON RD NEWCASTLE WY 82701,945887,,17,Outside of SAI,Null,Null,Worland,1
431 CAVE SPRINGS RD NEWCASTLE WY 82701,946265,,17,Outside of SAI,Null,Null,Worland,1
245 CAMBRIA CANYON RD NEWCASTLE WY 82701,945886,,17,Outside of SAI,Null,Null,Worland,1
199 CAMBRIA CANYON RD NEWCASTLE WY 82701,945884,,17,Outside of SAI,Null,Null,Worland,1
24640 N HWY 85 FOUR CORNERS WY 82715,945863,,17,Outside of SAI,Null,Null,Worland,1
26408 OLD HIGHWAY 87 KAYCEE WY 82639,62058,,14,Outside of SAI,Null,Null,Worland,1
26 RED ROCK TRL DEVILS TOWER WY 82714,942450,,12,Outside of SAI,Null,Null,Worland,1
62 U CROSS LN BIRNEY MT 59012,338282,,27,Outside of SAI,45.435447,-106.418144,Forsyth,1
14045 HIGHWAY 212 ALZADA MT 59311,940200,,4,Outside of SAI,45.0099,-104.3341,Forsyth,1
8 HIGHWAY 436 WASHAKIE WY 82442,929569,,,Outside of SAI,Null,Null,,Null
1095 A ROAD 56 WASHAKIE WY 82442,910111,,,Outside of SAI,Null,Null,,Null
1291 AIRPORT RD WASHAKIE WY 82401,13785,,23,Outside of SAI,43.995745,-107.949723,Worland,1
1340 WAGNER RD MOORCROFT WY 82721,945640,,22,Outside of SAI,Null,Null,Worland,1
1155 OIL CITY RD OSAGE WY 82723,903114,,17,Outside of SAI,Null,Null,Worland,1
1307 LUPIN RD UPTON WY 82730,946584,,22,Outside of SAI,Null,Null,Worland,1
1325 LUPIN RD UPTON WY 82730,942478,,22,Outside of SAI,Null,Null,Worland,1
11 MOON CT SUNDANCE WY 82729,18615,,22,Outside of SAI,44.26512,-104.531577,Worland,1
457 LUPIN RD UPTON WY 82730,946264,,22,Outside of SAI,Null,Null,Worland,1
1453 LUPIN RD UPTON WY 82730,946216,,22,Outside of SAI,Null,Null,Worland,1
8 STELLA LN MOORCROFT WY 82721,946031,,22,Outside of SAI,Null,Null,Worland,1
188  KARA CIR SUNDANCE WY 82729,945972,,22,Outside of SAI,Null,Null,Worland,1
919 PENNYCRESS LN UPTON WY 82730,945875,,22,Outside of SAI,Null,Null,Worland,1
920 PENNYCRESS LN UPTON WY 82730,945349,,22,Outside of SAI,Null,Null,Worland,1
215 KARA CIR SUNDANCE WY 82729,18609,,22,Outside of SAI,44.266195,-104.550313,Worland,1
1329 WAGNER RD MOORCROFT WY 82721,945654,,22,Outside of SAI,Null,Null,Worland,1
1330 WAGNER RD MOORCROFT WY 82721,945653,,22,Outside of SAI,Null,Null,Worland,1
1332 WAGNER RD MOORCROFT WY 82721,945652,,22,Outside of SAI,Null,Null,Worland,1
1334 WAGNER RD MOORCROFT WY 82721,945651,,22,Outside of SAI,Null,Null,Worland,1
1336 WAGNER RD MOORCROFT WY 82721,945650,,22,Outside of SAI,Null,Null,Worland,1
1338 WAGNER RD MOORCROFT WY 82721,945649,,22,Outside of SAI,Null,Null,Worland,1
707 ARCH CREEK RD UPTON WY 82730,945634,,22,Outside of SAI,Null,Null,Worland,1
670 ARCH CREEK RD UPTON WY 82730,945633,,22,Outside of SAI,Null,Null,Worland,1
48 HOLLY AVE MOORCROFT WY 82721,944545,,22,Outside of SAI,Null,Null,Worland,1
76 HOLLY AVE MOORCROFT WY 82721,944288,,22,Outside of SAI,Null,Null,Worland,1
74 HOLLY AVE MOORCROFT WY 82721,944287,,22,Outside of SAI,Null,Null,Worland,1
109 MESQUITE TRL UPTON WY 82730,944153,,22,Outside of SAI,Null,Null,Worland,1
1284 UPTON FAIRVIEW RD UPTON WY 82730,19373,,22,Outside of SAI,43.874906,-104.605213,Worland,1
273 S STATE HIGHWAY 116 UPTON WY 82730,18755,,22,Outside of SAI,44.069794,-104.660001,Worland,1
Null,18419,,22,Outside of SAI,44.254761,-104.588286,Worland,1
60 OLIVER RD UPTON WY 82730,19412,,22,Outside of SAI,44.030158,-104.542316,Worland,1
638 WAGNER RD MOORCROFT WY 82730,19411,,22,Outside of SAI,44.197122,-104.725167,Worland,1
1742 S STATE HIGHWAY 116 UPTON WY 82730,19360,,22,Outside of SAI,43.90845,-104.806157,Worland,1
24 CEDAR PL MOORCROFT WY 82721,18612,,22,Outside of SAI,44.259748,-104.54549,Worland,1
176 KARA CIR SUNDANCE WY 82729,18611,,22,Outside of SAI,44.266107,-104.544032,Worland,1
196 KARA CIR SUNDANCE WY 82729,18610,,22,Outside of SAI,44.269538,-104.548483,Worland,1
320 KARA CIR SUNDANCE WY 82729,18608,,22,Outside of SAI,44.258066,-104.564839,Worland,1
365 KARA CIR SUNDANCE WY 82729,18607,,22,Outside of SAI,44.257084,-104.549632,Worland,1
171 WAKEFIELD RD UPTON WY 82730,18587,,22,Outside of SAI,44.347752,-104.592591,Worland,1
Null,18579,,22,Outside of SAI,43.893599,-104.627806,Worland,1
1423 COWBOY MINE RD THERMOPOLIS WY 82443,945495,,21,Outside of SAI,Null,Null,Worland,1
351 OWL CREEK QUARRY RD THERMOPOLIS WY 82443,63640,,21,Outside of SAI,Null,Null,Worland,1
231 OWL CREEK QUARRY RD THERMOPOLIS WY 82443,63641,,21,Outside of SAI,Null,Null,Worland,1
1058 TEE LN THERMOPOLIS WY 82443,946336,,21,Outside of SAI,Null,Null,Worland,1
221 OWL CREEK QUARRY RD THERMOPOLIS WY 82443,946178,,21,Outside of SAI,Null,Null,Worland,1
